national_provider_identifier,gender,birth_year,medical_group,hospital,location,school,graduation_year,pharmacy_preference,popularity,channel,content,week_of,day,time_sent,response
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,0,4/1/18,1,Morning,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,2,0,4/1/18,3,Afternoon,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,0,4/1/18,4,Afternoon,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,2,0,4/8/18,2,Evening,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,2,4/8/18,4,Morning,1
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,2,4/8/18,6,Aftenoon,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,1,1,4/8/18,5,Aftenoon,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,2,4/15/18,1,Evening,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,2,2,4/15/18,3,Evening,1
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,3,4/15/18,5,Morning,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,3,4/22/18,0,Morning,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,3,4/22/18,3,Aftenoon,1
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,2,0,4/22/18,5,Morning,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,0,4/29/18,2,Morning,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,0,4/29/18,4,Evening,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,2,0,4/29/18,5,Morning,1
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,1,5/6/18,1,Afternoon,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,1,5/6/18,3,Evening,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,2,1,5/6/18,4,Evening,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,1,2,5/6/18,4,Evening,1
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,2,2,5/13/18,2,Afternoon,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,2,5/13/18,3,Evening,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,2,5/13/18,4,Morning,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,2,5/20/18,0,Afternoon,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,2,2,5/20/18,3,Evening,1
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,2,5/20/18,5,Morning,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,2,5/27/18,1,Morning,1
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,2,5/27/18,2,Afternoon,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,2,3,5/27/18,3,Morning,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,1,3,6/3/18,1,Morning,1
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,3,6/3/18,2,Morning,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,2,3,6/3/18,5,Afternoon,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,3,6/3/18,5,Evening,0
10000000,0,1972,NYU,NYU Langone,10016,Stanford,2000,1,2,0,3,6/10/18,1,Morning,1
